Dataset,Model,Conv Blocks,Dropout Rate,Learning Rate,Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro)
dataset1,CNN,5,0.3,0.001,0.787326991558075,0.7875489701405004,0.8009498954383344,0.7788948214963937
dataset1,CNN,4,0.5,0.0005,0.7865986824035645,0.7903319118163924,0.8040328774818218,0.7892932868110507
dataset1,CNN,5,0.5,0.0005,0.7836853861808777,0.7887081566634624,0.8062436897771031,0.7825896708182069
dataset1,CNN,5,0.5,0.001,0.7815003395080566,0.780614185807812,0.7971215301649017,0.7776738553505996
dataset1,CNN,5,0.3,0.0005,0.7771303653717041,0.7826814738836307,0.8049922534734606,0.7704012890825858
dataset1,CNN,4,0.3,0.0005,0.7756736874580383,0.7820572547921348,0.7961924090572314,0.7779359490713003
dataset1,CNN,4,0.3,0.001,0.7625637054443359,0.7546263561923258,0.7641862260520764,0.7504807597317441
dataset1,CNN,4,0.5,0.001,0.7596504092216492,0.7589049293250715,0.7807392902555709,0.7475348563524261
dataset1,CNN,3,0.5,0.001,0.7552804350852966,0.7585555381547948,0.7860195771430978,0.752971542931616
dataset1,CNN,3,0.3,0.001,0.7458121180534363,0.7387602669722247,0.7591495249684619,0.7384049100463893
dataset1,CNN,3,0.3,0.0005,0.7370721101760864,0.7314354860470047,0.7516415058033137,0.7265550726232423
dataset1,CNN,3,0.5,0.0005,0.7327021360397339,0.7309719435710403,0.758334299294378,0.7213463924041419
dataset2,CNN,5,0.3,0.001,0.9070512652397156,0.9058912114013937,0.9100585595414148,0.9055330086580087
dataset2,CNN,4,0.3,0.001,0.9054487347602844,0.9047259785917916,0.9072933062539941,0.9054473304473305
dataset2,CNN,5,0.5,0.0005,0.9054487347602844,0.9042082455493194,0.9073487760162524,0.9043695887445887
dataset2,CNN,5,0.5,0.001,0.9022436141967773,0.9009991364820692,0.9056178164065793,0.9012964466089466
dataset2,CNN,3,0.5,0.001,0.8942307829856873,0.8925089032442322,0.8972731073738971,0.8918470418470419
dataset2,CNN,3,0.5,0.0005,0.8910256624221802,0.8892709062560387,0.8927213627079122,0.8899508477633478
dataset2,CNN,3,0.3,0.0005,0.8878205418586731,0.8857006746591708,0.8906917637580112,0.8864425505050506
dataset2,CNN,4,0.5,0.001,0.8878205418586731,0.886805305577069,0.8919141379498161,0.8864019660894661
dataset2,CNN,3,0.3,0.001,0.8862179517745972,0.8845667081686651,0.8881761602953469,0.8857616341991341
dataset2,CNN,4,0.5,0.0005,0.8830128312110901,0.8818185348638972,0.8898946670992443,0.8828643578643578
dataset2,CNN,4,0.3,0.0005,0.8669871687889099,0.8654668220857811,0.8690945994152663,0.8687590187590187
dataset2,CNN,5,0.3,0.0005,0.8221153616905212,0.8227132621722433,0.8371131400917183,0.8190724206349206
